Brand,Name,Price,Reviews,Rating,Link
Samsung,"Samsung Galaxy A05, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black, (2YRs WRTY)","KSh 9,140",292,No rating,https://www.jumia.co.ke/samsung-galaxy-a05-6.7-64gb-4gb-ram-dual-sim-5000mah-black-2yrs-wrty-250194934.html
Itel,"Itel S25 ULTRA,AMOLED CURVED SCREEN,UPTO 16GB RAM & 256GB ROM,DUAL SIM,5000MAH,50MP,120HZ,SPLY""","KSh 20,790",1,No rating,https://www.jumia.co.ke/itel-s25-ultraamoled-curved-screenupto-16gb-ram-256gb-romdual-sim5000mah50mp120hzsply-306245874.html
Itel,"Itel P65 128GB + 4GB (UPTO 8GB) RAM, 6.7"", 500mAh, Cyber Black+ FREE Wireless Charging Case","KSh 8,599",30,No rating,https://www.jumia.co.ke/itel-p65-128gb-4gb-upto-8gb-ram-6.7-500mah-cyber-black-free-wireless-charging-case-270796179.html
Samsung,"Samsung Galaxy A06 6.7"" Display, 128GB ROM + 4GB RAM (Dual Sim)50MP Camera,4G Nertwork, 5000mAh - lightblue + Travel adapter & earpods","KSh 12,385",66,No rating,https://www.jumia.co.ke/samsung-galaxy-a06-6.7-display-128gb-rom-4gb-ram-dual-sim50mp-camera4g-nertwork-5000mah-lightblue-travel-adapter-earpods-285626978.html
Samsung,"Samsung Galaxy A16, 6.7"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 16,650",35,No rating,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-128gb-4gb-ram-dual-sim-5000mah-black-307976263.html
Samsung,"Samsung GALAXY A05,6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+BEST GIFTS","KSh 9,799",160,No rating,https://www.jumia.co.ke/samsung-galaxy-a056.7-pls-lcd-display-4gb-ram64gb-romandroid-135000mah4gdual50mpbest-gifts-178038250.html
XIAOMI,"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black","KSh 11,298",367,No rating,https://www.jumia.co.ke/xiaomi-redmi-14c-6.88-4gb-ram128gb-storage-dual-sim-5160mah-midnight-black-279067660.html
Blackview,"Blackview Wave 6C, 6.5"", 2GB RAM + 32GB (Dual SIM), 8MP Camera, 5100mAh Battery - 4G, Black.","KSh 5,600",100,No rating,https://www.jumia.co.ke/blackview-wave-6c-6.5-2gb-ram-32gb-dual-sim-8mp-camera-5100mah-battery-4g-black.-275297167.html
Oale,"Oale S24+ - 6.52"" 32GB ROM, 3GB RAM, 8MP, 4050mAh, 3G (Dual SIM) - Black (1YR WRTY)","KSh 5,699",107,No rating,https://www.jumia.co.ke/oale-s24-6.52-32gb-rom-3gb-ram-8mp-4050mah-3g-dual-sim-black-1yr-wrty-307861225.html
Samsung,"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP, 5000mAh - Black + Free Gifts","KSh 9,799",221,No rating,https://www.jumia.co.ke/samsung-galaxy-a05-6.7-4gb-ram-64gb-rom-dual-sim-50mp-5000mah-black-free-gifts-176889156.html
XIAOMI,XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  SW BD PB,"KSh 14,950",192,No rating,https://www.jumia.co.ke/xiaomi-redmi-14c-6.88-8gb-ram-256gb-rom-android-14-dual-sim-sw-bd-pb-275441082.html
Samsung,"Samsung Galaxy A16"" 164.4 X 77.9 X 7.9 Mm (6.47 X 3.07 X 0.31 In)""4GB RAM+128GB ROM, Battery: 5000mAh WWW","KSh 16,550",104,No rating,https://www.jumia.co.ke/samsung-galaxy-a16-164.4-x-77.9-x-7.9-mm-6.47-x-3.07-x-0.31-in4gb-ram128gb-rom-battery-5000mah-www-299889178.html
Samsung,"Samsung GALAXY A05,6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+CV BT WTC","KSh 9,890",98,No rating,https://www.jumia.co.ke/samsung-galaxy-a056.7-pls-lcd-display-4gb-ram64gb-romandroid-135000mah4gdual50mpcv-bt-wtc-178036587.html
XIAOMI,"XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM+GIFTS WATCH,I12 EAR BUDS,COVER","KSh 11,880",453,No rating,https://www.jumia.co.ke/xiaomi-redmi-14c-6.88-4gb-128gb-android-14-dual-simgifts-watchi12-ear-budscover-275643974.html
Itel,"Itel A50, 6.6'', 64GB + 2GB RAM (Dual SIM), 4G, 5000mAh, Black","KSh 8,495",62,No rating,https://www.jumia.co.ke/itel-a50-6.6-64gb-2gb-ram-dual-sim-4g-5000mah-black-307928413.html
XIAOMI,"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Black","KSh 8,105",294,No rating,https://www.jumia.co.ke/xiaomi-redmi-a3x-6.71-64gb-3gb-ram-dual-sim-5000mah-black-301783825.html
Samsung,"Samsung Galaxy A05, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 9,350",97,No rating,https://www.jumia.co.ke/samsung-galaxy-a05-6.7-64gb-4gb-ram-dual-sim-5000mah-black-317309101.html
Samsung,"Samsung Galaxy A16, 6GB+128GB ROM 6.7"" HD, Android 14,50MP-Camera, Battery-5000mah (Dual Sim)+COVER","KSh 18,190",137,No rating,https://www.jumia.co.ke/samsung-galaxy-a16-6gb128gb-rom-6.7-hd-android-1450mp-camera-battery-5000mah-dual-simcover-303928847.html
XIAOMI,"XIAOMI Redmi 14C, 6.88"" (256GB Storage+8GB RAM) (Dual Sim) 5160mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU","KSh 15,298",161,No rating,https://www.jumia.co.ke/xiaomi-redmi-14c-6.88-256gb-storage8gb-ram-dual-sim-5160mah-comes-with-free-gifts-airpods-smart-watch-powerbank-for-you-294690832.html
XIAOMI,XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM + WW SP,"KSh 11,880",147,No rating,https://www.jumia.co.ke/xiaomi-redmi-14c-6.88-4gb-128gb-android-14-dual-sim-ww-sp-275367413.html
Samsung,"Samsung  Galaxy S24 Ultra - 256 GB, Titanium Black","KSh 116,000",3,No rating,https://www.jumia.co.ke/samsung-galaxy-s24-ultra-256-gb-titanium-black-263650525.html
Samsung,"Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU","KSh 16,999",130,No rating,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-hd-4gb-ram-128gb-rom-dual-sim-50mp-5000mah-comes-with-free-gifts-airpods-smart-watch-powerbank-for-you-297282814.html
Tecno,"Tecno Spark 30c, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU","KSh 14,999",120,No rating,https://www.jumia.co.ke/tecno-spark-30c-6.67-hd-up-to-8gb-ram-128gb-rom-dual-sim-50mp-5000-mah-comes-with-free-gifts-airpods-smart-watch-powerbank-for-you-308721095.html
Samsung,"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 9,135",591,No rating,https://www.jumia.co.ke/samsung-galaxy-a05-6.7-4gb-ram-64gb-rom-dual-sim-50mp-camera-5000mah-black-185881786.html
Samsung,"Samsung Galaxy A36 5G, 6.7"", 256GB + 8GB RAM (Dual SIM), 50MP, 5000mAh, Awesome Black","KSh 42,000",No reviews,No rating,https://www.jumia.co.ke/samsung-galaxy-a36-5g-6.7-256gb-8gb-ram-dual-sim-50mp-5000mah-awesomeblack-316949809.html
Infinix,"Infinix ZERO FLIP, 512GB + 8GB RAM (Dual SIM), 4720mAh, Rock Black (1YR WRTY)","KSh 82,863",No reviews,No rating,https://www.jumia.co.ke/infinix-zero-flip-512gb-8gb-ram-dual-sim-4720mah-rock-black-1yr-wrty-291244999.html
Infinix,"Infinix NOTE 50S 5G+ (X6870), 6.78"", 256GB + 8GB RAM (Dual SIM), 5200mAh, Marine Drift Blue","KSh 31,600",No reviews,No rating,https://www.jumia.co.ke/infinix-note-50s-5g-x6870-6.78-256gb-8gb-ram-dual-sim-5200mah-marine-drift-blue-324975889.html
XIAOMI,"XIAOMI Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh - Midnight Black (2YRs WRTY)","KSh 14,350",2,No rating,https://www.jumia.co.ke/xiaomi-redmi-14c-6.88-8gb-ram256gb-storage-dual-sim-5160mah-midnight-black-2yrs-wrty-316950012.html
Infinix,"Infinix GT 20 Pro 5G, 6.78"", 8GB RAM + 256GB, 5000mAh, Orange + Free Buds","KSh 38,500",2,No rating,https://www.jumia.co.ke/infinix-gt-20-pro-5g-6.78-8gb-ram-256gb-5000mah-orange-free-buds-320595924.html
Itel,"Itel S25 ULTRA,SUPER-BRIGHT AMOLED DISPLAY,CURVED SCREEN,ANDROID 14,120HZ,50MP,DUAL SIM,5000MAH(UPTO 16GB RAM +256GB ROM)SPLY""","KSh 21,690",1,No rating,https://www.jumia.co.ke/itel-s25-ultrasuper-bright-amoled-displaycurved-screenandroid-14120hz50mpdual-sim5000mahupto-16gb-ram-256gb-romsply-306311835.html
Itel,"Itel P55 6.6"", 128GB + 6GB, (Dual SIM), 5G, 5000mAh - Mint Green","KSh 11,930",53,No rating,https://www.jumia.co.ke/itel-p55-6.6-128gb-6gb-dual-sim-5g-5000mah-mint-green-249610879.html
Infinix,"Infinix Hot 50 Pro+, 6.78"", 128GB + 8GB RAM (Dual Sim), 5000mAh, Dreamy Purple","KSh 19,680",2,No rating,https://www.jumia.co.ke/hot-50-pro-6.78-128gb-8gb-ram-dual-sim-5000mah-dreamy-purple-infinix-mpg8360606.html
Infinix,"Infinix Note 40 Pro, 6.78'', 256GB + 8GB RAM (UPTO 16GB RAM), Dual SIM, 5000mAh, Vintage Green  (1YR  WRTY)","KSh 31,169",12,No rating,https://www.jumia.co.ke/infinix-note-40-pro-6.78-256gb-8gb-ram-upto-16gb-ram-dual-sim-5000mahvintage-green-1yr-wrty-275111608.html
Samsung,"Samsung Galaxy A56 5G, 6.7"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Awesome Graphite","KSh 46,129",2,No rating,https://www.jumia.co.ke/galaxy-a56-5g-6.7-128gb-8gb-ram-dual-sim-5000mah-awesomegraphite-samsung-mpg8632758.html
XIAOMI,"XIAOMI Redmi Note 14 Pro+ 5G, 6.67"", 512GB + 12GB (Dual SIM), 5110mAh, Frost Blue (1YR WRTY)","KSh 58,680",2,No rating,https://www.jumia.co.ke/xiaomi-redmi-note-14-pro-5g-6.67-512gb-12gb-dual-sim-5110mah-frost-blue-1yr-wrty-306125756.html
Itel,"Itel S25 ULTRA,AMOLED SUPER-BRIGHT DISPLAY,(8GB RAM +8GB RAM)& 256GB STORAGE,5000MAH,50MP,FREE WATCH,POWERBANK & BUDS","KSh 21,720",3,No rating,https://www.jumia.co.ke/itel-s25-ultraamoled-super-bright-display8gb-ram-8gb-ram-256gb-storage5000mah50mpfree-watchpowerbank-buds-306247148.html
Tecno,"Tecno CAMON 30 Premier 5G 6.77'' AMOLED Screen, 512GB+ 12GB+ 12GB Extended (Dual SIM), 5000mAh,  -   Lava Black Black (1YR WRTY)","KSh 49,999",6,No rating,https://www.jumia.co.ke/tecno-camon-30-premier-5g-6.77-amoled-screen-512gb-12gb-12gb-extended-dual-sim-5000mah-lava-black-black-1yr-wrty-208809321.html
Itel,"Itel S25 ULTRA,3D-CURVED,SUPER BRIGHT AMOLED DISPLAY,8GB RAM UPTO 16GB RAM & 256GB ROM,5000MAH,50MP,SPLY""","KSh 20,790",7,No rating,https://www.jumia.co.ke/itel-s25-ultra3d-curvedsuper-bright-amoled-display8gb-ram-upto-16gb-ram-256gb-rom5000mah50mpsply-306245823.html
Tecno,"Tecno CAMON  40 6.78'' AMOLED 120Hz, 256GB ROM +8GB RAM * (+8GB Extended), Dual Sim, 50MP, 5200mAh 45W, 4G _Glacier White","KSh 26,999",4,No rating,https://www.jumia.co.ke/tecno-camon-40-6.78-amoled-120hz-256gb-rom-8gb-ram-8gb-extended-dual-sim-50mp-5200mah-45w-4g-glacier-white-314814722.html
Tecno,"Tecno Pova 6 Neo 6.78""FHD+, 256GB+8GB RAM, 50MP, 7000mAh-33W Super Charge- Speed Black (1YR WRTY)","KSh 19,999",232,No rating,https://www.jumia.co.ke/tecno-pova-6-neo-6.78fhd-256gb8gb-ram-50mp-7000mah-33w-super-charge-speed-black-1yr-wrty-259045384.html
